month,notes
2019-09,"BULLISH - Fed cut rates in September, market recovered from summer trade war anxiety. Still very new to ES, taking small trades and getting a feel for how the contract moves. More watching than trading."
2019-10,"BULLISH - Phase 1 US-China trade deal optimism pushed ES higher all month. Overtraded early, gave back gains chasing moves. Starting to realize discipline matters more than being right."
2019-11,"CHOPPY - Market ground higher but intraday action was noisy. Struggled to find entries, kept getting stopped out before the move happened. Losing month, still figuring out setups."
2019-12,"BULLISH - Phase 1 trade deal signed, holiday rally into year-end. Took too few trades on the good days and too many on the bad ones. Ended the year down, but learning a lot."
2020-01,"BULLISH - New all-time highs to start the year. COVID was just a headline out of China, nobody took it seriously. Got a few decent trades early but gave back gains in the second half as headlines got louder."
2020-02,"BEARISH - COVID fear hit fast and hard. ES dropped over 13% in February alone. Had no framework for trading a market like this. Froze on some trades, revenge traded on others. Bad month."
2020-03,"BEARISH - Full crash. Circuit breakers triggered multiple times. ES fell 34% peak to trough. Sat most of the month out after getting hit early. Watched in disbelief. Learned what real volatility feels like."
2020-04,"BULLISH - Fed launched unlimited QE, Congress passed $2T stimulus. ES bounced hard. Caught a few longs but sized too small, didn't trust the move. Made back some of the losses from Feb-March."
2020-05,"BULLISH - Recovery continued. Starting to get more comfortable trading again after the crash. Focused on not overtrading and only taking high-odds setups. Best month since starting."
2020-06,"CHOPPY - Second wave COVID fears created whipsaw action. ES had big swings both directions with no follow-through. Got chopped up repeatedly. Went back to studying charts more than trading."
2020-07,"BULLISH - Stimulus hopes and tech strength drove ES higher. Stayed more patient this month, waited for pullbacks to key levels. Starting to see improvement in trade selection."
2020-08,"BULLISH - New all-time highs. Low volatility grind higher. Kept size small but executed cleaner than any prior month. Building a bit of confidence back after the rough first half of the year."
2020-09,"BEARISH - Tech led a sharp selloff after massive summer gains. Tried to short but kept getting squeezed. Then tried to buy dips too early. Frustrating month, gave back August gains."
2020-10,"CHOPPY - Election uncertainty killed any clean trending. Market moved on every poll and every COVID headline. Sat most of the month out, not worth fighting the noise."
2020-11,"BULLISH - Pfizer vaccine announcement November 9th and Biden election confirmed. ES ripped. Caught part of the move but undersized again. Still not trusting big moves with real size."
2020-12,"BULLISH - Vaccine rollout and stimulus deal pushed markets higher into year-end. Traded light, mostly just trying to end a brutal year on a positive note. Managed a small green month."
2021-01,"CHOPPY - GameStop short squeeze chaos dominated headlines. ES was choppy and directionless as retail frenzy created weird cross-market volatility. Sat most of January out."
2021-02,"BULLISH - Reopening trade in full swing. Rates rising on reflation expectations. Got more active this month, starting to hold winners a bit longer instead of scalping everything."
2021-03,"BULLISH - $1.9T American Rescue Plan passed. ES broke to new all-time highs. More confident now, taking more trades with better sizing. Best month since starting."
2021-04,"BULLISH - Strong earnings season, clean trending tape. Getting into a rhythm. Identifying setups better, cutting losses faster. The consistency is starting to show up in results."
2021-05,"CHOPPY - First real inflation fears appeared. CPI came in hot and the market wobbled. Went back to oversizing and chasing. Gave back some April gains, frustrating month."
2021-06,"BULLISH - Fed calmed inflation fears, called it transitory. Rally resumed. Refocused on the process, better execution second half of the month."
2021-07,"BULLISH - Delta variant scare mid-month recovered quickly. ES hit new highs. Most active and most profitable month so far. Starting to feel like the process is clicking."
2021-08,"BULLISH - Low vol summer grind. Jackson Hole came and went without surprises. Light trading, took only the clearest setups. Small but clean month."
2021-09,"BEARISH - Evergrande default fears out of China plus debt ceiling drama. ES dropped sharply. Sat back and watched most of it. Took two trades, both losers. Learning to recognize when not to trade."
2021-10,"BULLISH - Evergrande fears faded, earnings beats drove ES to new ATHs. Got back to clean execution. Good follow-through on long setups all month."
2021-11,"BEARISH - Omicron variant announced the day after Thanksgiving. ES gapped down hard. Only had a few trades in, still got hurt. Sat the rest of the month out waiting for clarity."
2021-12,"BULLISH - Omicron proved less severe, market recovered fast. Caught the bounce well. Ended 2021 strong, best year by far since starting. Starting to feel like a real edge is developing."
